Guest,160,3596
Guest,133,3034
Guest,89,1932
Guest,-1,1118
Guest,93,4170
Guest,179,18600
Guest,140,2598
Guest,-1,2148
Guest,133,3357
Guest,113,2674
Guest,-1,1882
Guest,-1,975
Guest,150,3312
Guest,5586,768909
Guest,149,3185,0
Guest,155,3389,0
Alice,113,2643,0
Alice,135,4014,0
Alice,27,9796,1
Alice,136,4263,0
Alice,127,4246,0
Alice,131,4122,0
Alice,101,2908,0
Alice,139,3910,0
Alice,142,2864,0
Bob,2,4,4
Bob,04,09,16
Bob,05,08,12
Bob,06,10,02
Bob,14,11,07
Guest,121,1241,0
Guest,125,1283,0
Guest,134,693,0
Guest,245,1183,0
Guest,162,182,0
Guest,114,129,0
Guest,125,140,0
Guest,104,117,0
Guest,108,121,0
Guest,115,131,0
Guest,132,149,0
Guest,122,137,0
Guest,146,162,0
Guest,133,148,0
Guest,103,116,0
Guest,114,127,0
Guest,133,149,0
Guest,436,1926,0
Guest,141,159,0
Guest,234,783,0
Guest,130,147,0
Guest,110,124,0
Guest,123,138,0
Bob,20,567,1
Guest,95,699,0
Guest,124,139,0
Guest,130,147,0
Guest,127,142,0
Guest,145,161,0
Guest,294,1384,0
Guest,106,118,0
Guest,117,129,0
Guest,268,860,0
Guest,117,130,0
Guest,231,800,0
Guest,133,148,0
Guest,122,136,0
Guest,128,143,0
Guest,124,140,0
Guest,148,167,0
Guest,151,1016,0
Guest,154,171,0
Guest,113,69,0
Guest,106,64,0
Guest,136,83,0
Guest,140,85,0
Guest,251,649,0
Guest,120,73,0
Guest,166,859,0
Guest,115,595,0
Guest,131,678,0
Guest,149,772,0
Guest,134,694,0
Guest,313,2859,0
Guest,96,495,0
Guest,148,763,0
Guest,98,508,0
Guest,147,759,0
Guest,111,576,0
Guest,153,790,0
Guest,193,4288,0
Guest,109,564,0
Guest,108,559,0
Guest,127,658,0
Guest,154,797,0
Guest,122,632,0
Guest,125,647,0
Guest,94,487,0
Guest,118,613,0
Guest,131,678,0
Guest,120,621,0
Guest,132,685,0
Guest,126,653,0
Guest,95,491,0
Guest,131,678,0
Guest,116,601,0
Guest,91,471,0
Guest,128,663,0
Guest,103,533,0
Guest,132,682,0
Guest,150,776,0
Guest,102,527,0
Guest,121,626,0
Guest,118,611,0
Guest,89,460,0
Guest,118,609,0
Guest,158,817,0
Guest,123,637,0
Guest,121,624,0
Guest,90,465,0
Guest,108,558,0
Guest,109,564,0
Guest,143,741,0
Guest,148,770,0
Guest,141,733,0
Guest,144,747,0
Guest,132,685,0
Guest,145,752,0
Guest,102,528,0
